"","Municipio","Infectados","Recuperados","Obitos","Total","Dia_Juliano"
"431","Alta Floresta",0,1,0,1,115
"432","Aripuana",0,1,1,2,115
"433","Barra do Garcas",2,0,1,3,115
"434","Caceres",2,1,1,4,115
"435","Campo Novo do Parecis",0,1,0,1,115
"436","Canarana",0,1,0,1,115
"437","Confresa",1,0,0,1,115
"438","Conquista do Oeste",1,0,0,1,115
"439","Cuiaba",38,80,1,119,115
"440","Ipiranga do Norte",1,0,0,1,115
"441","Jaciara",1,0,0,1,115
"442","Lambari do Oeste",0,1,0,1,115
"443","Lucas do Rio Verde",0,0,1,1,115
"444","Mirassol do Oeste",5,0,1,6,115
"445","Nova Monte Verde",0,1,0,1,115
"446","Nova Mutum",0,1,0,1,115
"447","Pontal do Araguaia",1,0,0,1,115
"448","Pontes e Lacerda",1,0,0,1,115
"449","Primavera do Leste",6,2,0,8,115
"450","Querencia",1,0,0,1,115
"451","Rio Branco",2,0,0,2,115
"452","Rondonopolis",28,6,2,36,115
"453","Sao Jose dos Quatro Marcos",3,3,0,6,115
"454","Sinop",9,10,0,19,115
"455","Tangara da Serra",0,5,0,5,115
"456","Uniao do Sul",0,1,0,1,115
"457","Varzea Grande",3,9,0,12,115
"458","Vila Bela da Santissima Trindade",1,0,0,1,115
"459","Alta Floresta",0,1,0,1,116
"460","Aripuana",0,1,1,2,116
"461","Barra do Garcas",2,0,1,3,116
"462","Caceres",2,1,1,4,116
"463","Campo Novo do Parecis",0,1,0,1,116
"464","Canarana",0,1,0,1,116
"465","Confresa",1,0,0,1,116
"466","Conquista do Oeste",1,0,0,1,116
"467","Cuiaba",43,80,1,124,116
"468","Ipiranga do Norte",1,0,0,1,116
"469","Jaciara",1,0,0,1,116
"470","Lambari do Oeste",0,1,0,1,116
"471","Lucas do Rio Verde",0,0,1,1,116
"472","Mirassol do Oeste",5,0,1,6,116
"473","Nova Monte Verde",0,1,0,1,116
"474","Nova Mutum",0,1,0,1,116
"475","Pontal do Araguaia",1,0,0,1,116
"476","Pontes e Lacerda",1,0,0,1,116
"477","Primavera do Leste",6,2,0,8,116
"478","Querencia",1,0,0,1,116
"479","Rio Branco",2,0,0,2,116
"480","Rondonopolis",28,6,2,36,116
"481","Sao Jose dos Quatro Marcos",3,3,0,6,116
"482","Sinop",8,10,1,19,116
"483","Tangara da Serra",0,5,0,5,116
"484","Uniao do Sul",0,1,0,1,116
"485","Varzea Grande",3,9,0,12,116
"486","Vila Bela da Santissima Trindade",1,0,0,1,116
"487","Alta Floresta",0,1,0,1,117
"488","Aripuana",0,1,1,2,117
"489","Barra do Garcas",2,0,1,3,117
"490","Caceres",2,1,1,4,117
"491","Campo Novo do Parecis",0,1,0,1,117
"492","Canarana",0,1,0,1,117
"493","Confresa",1,0,0,1,117
"494","Conquista do Oeste",1,0,0,1,117
"495","Cuiaba",44,80,1,125,117
"496","Ipiranga do Norte",1,0,0,1,117
"497","Jaciara",1,0,0,1,117
"498","Lambari do Oeste",0,1,0,1,117
"499","Lucas do Rio Verde",0,0,1,1,117
"500","Mirassol do Oeste",5,0,1,6,117
"501","Nova Monte Verde",0,1,0,1,117
"502","Nova Mutum",0,1,0,1,117
"503","Pocone",2,0,0,2,117
"504","Pontal do Araguaia",1,0,0,1,117
"505","Pontes e Lacerda",1,0,0,1,117
"506","Primavera do Leste",6,2,0,8,117
"507","Querencia",1,0,0,1,117
"508","Rio Branco",2,0,0,2,117
"509","Rondonopolis",28,6,2,36,117
"510","Sao Jose dos Quatro Marcos",3,3,0,6,117
"511","Sinop",8,10,1,19,117
"512","Tangara da Serra",0,5,0,5,117
"513","Uniao do Sul",0,1,0,1,117
"514","Varzea Grande",3,9,0,12,117
"515","Vila Bela da Santissima Trindade",1,0,0,1,117
"516","Alta Floresta",0,1,0,1,118
"517","Aripuana",0,1,1,2,118
"518","Barra do Garcas",2,0,1,3,118
"519","Caceres",4,1,1,6,118
"520","Campo Novo do Parecis",0,1,0,1,118
"521","Canarana",0,1,0,1,118
"522","Confresa",0,1,0,1,118
"523","Conquista do Oeste",1,0,0,1,118
"524","Cuiaba",39,86,1,126,118
"525","Ipiranga do Norte",1,0,0,1,118
"526","Jaciara",1,0,0,1,118
"527","Lambari do Oeste",0,1,0,1,118
"528","Lucas do Rio Verde",0,0,1,1,118
"529","Mirassol do Oeste",5,0,1,6,118
"530","Nova Monte Verde",0,1,0,1,118
"531","Nova Mutum",0,1,0,1,118
"532","Pocone",0,2,0,2,118
"533","Pontal do Araguaia",1,0,0,1,118
"534","Pontes e Lacerda",1,0,0,1,118
"535","Primavera do Leste",6,2,0,8,118
"536","Querencia",1,0,0,1,118
"537","Rio Branco",2,0,0,2,118
"538","Rondonopolis",30,6,2,38,118
"539","Sao Jose dos Quatro Marcos",3,3,0,6,118
"540","Sinop",5,13,1,19,118
"541","Tangara da Serra",0,5,0,5,118
"542","Uniao do Sul",0,1,0,1,118
"543","Varzea Grande",3,9,0,12,118
"544","Vila Bela da Santissima Trindade",1,0,0,1,118
"545","Alta Floresta",0,1,0,1,119
"546","Aripuana",0,1,1,2,119
"547","Barra do Garcas",2,0,1,3,119
"548","Caceres",3,2,1,6,119
"549","Campo Novo do Parecis",0,1,0,1,119
"550","Canarana",0,1,0,1,119
"551","Confresa",0,3,0,3,119
"552","Conquista do Oeste",1,0,0,1,119
"553","Cuiaba",37,89,1,127,119
"554","Ipiranga do Norte",1,0,0,1,119
"555","Jaciara",1,0,0,1,119
"556","Lambari do Oeste",0,1,0,1,119
"557","Lucas do Rio Verde",0,2,1,3,119
"558","Mirassol do Oeste",5,0,1,6,119
"559","Nova Monte Verde",0,1,0,1,119
"560","Nova Mutum",1,1,0,2,119
"561","Pocone",0,2,0,2,119
"562","Pontal do Araguaia",1,0,0,1,119
"563","Pontes e Lacerda",1,0,0,1,119
"564","Primavera do Leste",6,2,0,8,119
"565","Querencia",1,0,0,1,119
"566","Rio Branco",1,1,0,2,119
